Z,Symbol,IE_eV,IE_source,R_pm,R_source,alpha_au,alpha_source
70,Yb,6.254,NIST ASD v5.11,187,Cordero 2008,139.0,S&N 2025 recommended
71,Lu,5.426,NIST ASD v5.11,187,Cordero 2008,137.0,S&N 2025 recommended
72,Hf,6.825,NIST ASD v5.11,175,Cordero 2008,103.0,S&N 2025 recommended
73,Ta,7.550,NIST ASD v5.11,170,Cordero 2008,74.0,S&N 2025 recommended
74,W,7.864,NIST ASD v5.11,162,Cordero 2008,68.0,S&N 2025 recommended
75,Re,7.834,NIST ASD v5.11,151,Cordero 2008,62.0,S&N 2025 recommended
76,Os,8.438,NIST ASD v5.11,144,Cordero 2008,57.0,S&N 2025 recommended
77,Ir,8.967,NIST ASD v5.11,141,Cordero 2008,54.0,S&N 2025 recommended
78,Pt,8.959,NIST ASD v5.11,136,Cordero 2008,48.0,S&N 2025 recommended
79,Au,9.226,NIST ASD v5.11,136,Cordero 2008,36.0,S&N 2025 recommended
80,Hg,10.437,NIST ASD v5.11,132,Cordero 2008,33.91,S&N 2025 recommended
81,Tl,6.108,NIST ASD v5.11,145,Cordero 2008,50.0,S&N 2025 recommended
82,Pb,7.417,NIST ASD v5.11,146,Cordero 2008,47.0,S&N 2025 recommended
83,Bi,7.286,NIST ASD v5.11,148,Cordero 2008,48.0,S&N 2025 recommended
84,Po,8.414,NIST ASD v5.11,140,Cordero 2008,44.0,S&N 2025 recommended
85,At,9.318,NIST ASD v5.11,150,Cordero 2008,42.0,S&N 2025 recommended
86,Rn,10.749,NIST ASD v5.11,150,Cordero 2008,35.0,S&N 2025 recommended
87,Fr,4.073,NIST ASD v5.11,260,Cordero 2008,,
88,Ra,5.278,NIST ASD v5.11,221,Cordero 2008,,
89,Ac,5.380,NIST ASD v5.11,215,Cordero 2008,,
90,Th,6.307,NIST ASD v5.11,206,Cordero 2008,,
