chemical_formula,A,B,D0,geo_cost,pred_score,manhattan,euclid
InCl,In,Cl,4.44,4.297876818720947,-4.297876818720947,6,4.47213595499958
AlBr,Al,Br,4.43,4.006026799307193,-4.006026799307193,5,4.123105625617661
CuF,Cu,F,4.42,7.675644489086543,-7.675644489086543,8,6.324555320336759
SeO,Se,O,4.41,2.5977044892631955,-2.5977044892631955,2,2.0
CrO,Cr,O,4.4,9.273901029465492,-9.273901029465492,12,10.198039027185569
SbF,Sb,F,4.4,7.039935063823691,-7.039935063823691,5,3.605551275463989
OH,O,H,4.392,14.073141516596447,-14.073141516596447,16,15.033296378372908
PrCl,Pr,Cl,4.39,13.172604089756433,-13.172604089756433,17,14.317821063276353
BaS,Ba,S,4.36,12.41842628949547,-12.41842628949547,17,14.317821063276353
SmCl,Sm,Cl,4.34,13.172604089756433,-13.172604089756433,17,14.317821063276353
NdCl,Nd,Cl,4.34,13.172604089756433,-13.172604089756433,17,14.317821063276353
PmCl,Pm,Cl,4.29,13.172604089756433,-13.172604089756433,17,14.317821063276353
HoCl,Ho,Cl,4.24,13.172604089756433,-13.172604089756433,17,14.317821063276353
AsF,As,F,4.2,5.941034555244911,-5.941034555244911,4,2.8284271247461903
EuCl,Eu,Cl,4.2,13.172604089756433,-13.172604089756433,17,14.317821063276353
NiC,Ni,C,4.167,3.18968957404697,-3.18968957404697,6,4.47213595499958
DyCl,Dy,Cl,4.07,13.172604089756433,-13.172604089756433,17,14.317821063276353
NSe,N,Se,4.0,3.9850612832472,-3.9850612832472,3,2.23606797749979
FeC,Fe,C,3.961,4.7635652986499695,-4.7635652986499695,8,6.324555320336759
LuCl,Lu,Cl,3.94,13.172604089756433,-13.172604089756433,17,14.317821063276353
TmCl,Tm,Cl,3.92,13.172604089756433,-13.172604089756433,17,14.317821063276353
GaO,Ga,O,3.91,3.9996660398751294,-3.9996660398751294,5,3.605551275463989
YbCl,Yb,Cl,3.88,13.172604089756433,-13.172604089756433,17,14.317821063276353
CeBr,Ce,Br,3.87,12.970041484918633,-12.970041484918633,16,14.142135623730951
AlS,Al,S,3.84,2.473568396246556,-2.473568396246556,3,3.0
PbO,Pb,O,3.83,5.116243366464757,-5.116243366464757,6,4.47213595499958
PtO,Pt,O,3.82,7.899769051650993,-7.899769051650993,10,7.211102550927978
TlCl,Tl,Cl,3.82,4.632484394866607,-4.632484394866607,7,5.0
BeS,Be,S,3.8,12.29769518851724,-12.29769518851724,15,14.035668847618199
BaBr,Ba,Br,3.71,13.750513235044574,-13.750513235044574,17,15.132745950421556
MnO,Mn,O,3.7,8.595097373885157,-8.595097373885157,11,9.219544457292887
SeS,Se,S,3.7,1.171792574390388,-1.171792574390388,1,1.0
NiS,Ni,S,3.651,4.7358254440678405,-4.7358254440678405,7,6.082762530298219
AgF,Ag,F,3.64,8.130495820217355,-8.130495820217355,9,6.708203932499369
PbF,Pb,F,3.64,7.291419464780433,-7.291419464780433,7,5.0
PrBr,Pr,Br,3.57,12.970041484918633,-12.970041484918633,16,14.142135623730951
SH,S,H,3.55,12.647229601723637,-12.647229601723637,17,15.132745950421556
MgO,Mg,O,3.53,12.937893710262347,-12.937893710262347,15,14.035668847618199
NdBr,Nd,Br,3.52,12.970041484918633,-12.970041484918633,16,14.142135623730951
TeS,Te,S,3.5,2.3344208490434895,-2.3344208490434895,2,2.0
